wordIndex,buildword,attackword,skillword,fixedword
1,판옥선,태종 이방원,오자병법,임진왜란
2,방패선,충무공 이순신,손자병법,정유재란
3,거북선,무의공 이순신,금신전선 상유십이,조명연합군
4,해골선,충장공 권율,필사즉생 필생즉사,사로병진책
5,맹선,류성룡,차수약제 사즉무감,난중일기
6,과선,원균,전방급신 물언아사,선조실록
7,협선,선조,물령망동 정중여산,동래성 전투
8,사후선,진린,금일고결사,충주 탄금대 전투
9,누전선,등자룡,원천필섬차적,옥포 해전
10,신기전,이억기,난중일기,정암진 전투
11,화차,이경록,삼척서천 산하동색,용인 전투
12,두정갑,이시언,일휘소탕 혈염산하,이치 전투
13,철찰갑,어영남,제사망 군졸문,한산도 대첩
14,피찰갑,이운룡,친상사장 이진기직,평양성 전투
15,쇄자갑,정기룡,투료연저 아핍기덕,금산 전투
16,경번갑,김득기,초혼동탑 설전공향,부산포 해전
17,면제배갑,곽재우,전선수과 미신불사,연안성 전투
18,엄심갑,나대용,즉불감 모아의,북관 대첩
19,지갑,정운,주득쌍룡검,진주성 전투
20,어린갑,배흥립,춘추기상웅,독성산성 전투
21,비거,안위,맹산서해의,벽제관 전투
22,마름쇠,송희립,충분고금동,행주 대첩
23,국궁,영규,삼도수군통제사,칠천량 해전
24,편전,김면,수군절도사,명량 해전
25,쇠뇌,정문부,덕풍부원군,노량 해전
